elementId	reviewGroup	decisionStatus	targetCategory	roles	disposition	rationale	replacement	migrationGuideAnchor	ownerPhase	notes
field:org.hibernate.dialect.Dialect#NEW_LOCATOR_LOB_MERGE_STRATEGY	SUPPLIED_STRATEGY	APPROVED	SPI	USE	RETAIN	Provider Dialect subclasses may select Hibernate's documented new-locator LOB merge policy without reimplementing it.			Phase 2	Protected policy constant intentionally available to Dialect implementors; the inherited getter uses it by default.
field:org.hibernate.dialect.Dialect#STANDARD_MULTI_KEY_LOAD_SIZING_STRATEGY	SUPPLIED_STRATEGY	APPROVED	SPI	USE	RETAIN	Provider Dialect subclasses may reuse Hibernate's standard parameter-limit-aware multi-key sizing policy without reimplementing it.			Phase 2	Protected policy constant intentionally available to Dialect implementors; the inherited multi-key sizing getter uses it by default.
field:org.hibernate.dialect.Dialect#STREAM_XFER_LOB_MERGE_STRATEGY	SUPPLIED_STRATEGY	APPROVED	SPI	USE	RETAIN	Provider Dialect subclasses may select Hibernate's documented stream-transfer LOB merge policy without reimplementing it.			Phase 2	Protected policy constant intentionally available to Dialect implementors; no in-repository field access was observed.
method:org.hibernate.dialect.Dialect#getBatchLoadSizingStrategy()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects may supply the key-sizing policy Hibernate uses for batch-fetch loading.			Phase 2	No in-repository override was observed, but the method is a documented focused strategy hook and delegates to multi-key sizing by default.
method:org.hibernate.dialect.Dialect#getLobMergeStrategy()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects may supply the LOB merge policy consumed by Hibernate's JDBC LOB handling.			Phase 2	The default returns NEW_LOCATOR_LOB_MERGE_STRATEGY; Hibernate has three direct consumers.
method:org.hibernate.dialect.Dialect#getMultiKeyLoadSizingStrategy()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects may supply the key-sizing policy Hibernate uses for multi-id and multi-natural-id loading.			Phase 2	No in-repository override was observed, but the method is a documented focused strategy hook and Hibernate has direct consumers.
method:org.hibernate.dialect.Dialect#getSizeStrategy()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply database-specific column size resolution used throughout Hibernate's type and schema machinery.			Phase 2	Eight in-repository overrides and ten direct consumers were observed; change the retained method's result to the supported top-level SizeStrategy introduced by the Phase 5 type-family remediation.
method:org.hibernate.dialect.Dialect#buildLockingClauseStrategy(org.hibernate.sql.ast.internal.PessimisticLockKind,org.hibernate.dialect.RowLockStrategy,org.hibernate.LockOptions,java.util.Set)	SUPPLIED_STRATEGY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects override this focused builder to supply a database-specific locking-clause strategy and may delegate to the inherited standard implementation.			Phase 5	Three overrides and provider super-delegation were observed; PessimisticLockKind must move to a supported boundary before this SPI commitment is applied.
method:org.hibernate.dialect.Dialect#getLockingClauseStrategy(org.hibernate.sql.ast.tree.select.QuerySpec,org.hibernate.LockOptions)	SUPPLIED_STRATEGY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects select or construct the locking-clause strategy Hibernate uses for a specific SQL AST query and may delegate supported cases to the inherited implementation.			Phase 5	Eight overrides were observed; QuerySpec and the complete LockingClauseStrategy boundary must be supported as part of the SQL AST migration.
method:org.hibernate.dialect.Dialect#getLockingSupport()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the composed metadata and operations describing their pessimistic-locking support.			Phase 5	Forty-five overrides were observed; LockingSupport and provider-facing composition or construction facilities must avoid reliance on org.hibernate.dialect.lock.internal.
method:org.hibernate.dialect.Dialect#getReadRowLockStrategy()	SUPPLIED_STRATEGY	APPROVED	INTERNAL		REMOVE	The deprecated Dialect-level getter duplicates the read-row strategy now supplied through LockingSupport.Metadata.	getLockingSupport().getMetadata().getReadRowLockStrategy()		Phase 5	Migrate internal and provider overrides before direct removal and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getWriteRowLockStrategy()	SUPPLIED_STRATEGY	APPROVED	INTERNAL		REMOVE	The deprecated Dialect-level getter duplicates the write-row strategy now supplied through LockingSupport.Metadata.	getLockingSupport().getMetadata().getWriteRowLockStrategy()		Phase 5	Migrate the remaining community override and internal consumers before direct removal and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getGlobalTemporaryTableStrategy()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the global temporary-table behavior Hibernate uses when that independently supported kind is selected.			Phase 5	A null result means unsupported; fourteen overrides were observed and the strategy boundary must contain only supported types.
method:org.hibernate.dialect.Dialect#getLocalTemporaryTableStrategy()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the local temporary-table behavior Hibernate uses when that independently supported kind is selected.			Phase 5	A null result means unsupported; twenty overrides were observed and the strategy boundary must contain only supported types.
method:org.hibernate.dialect.Dialect#getPersistentTemporaryTableStrategy()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects may replace the inherited persistent-table fallback with database-specific naming, DDL, and lifecycle behavior.			Phase 5	The inherited result is non-null; retain composition as the default path instead of requiring a supported persistent subclass base.
method:org.hibernate.dialect.Dialect#getSupportedTemporaryTableKind()	SUPPLIED_STRATEGY	APPROVED	INTERNAL		REMOVE	A single supported-kind value cannot represent Dialects which independently support multiple temporary-table strategies.	getLocalTemporaryTableStrategy(), getGlobalTemporaryTableStrategy(), getPersistentTemporaryTableStrategy(), and TemporaryTableStrategy#getTemporaryTableKind()		Phase 5	Deprecated for removal since 7.1; migrate twenty-one overrides and remove LegacyTemporaryTableStrategy with the related legacy Dialect methods and a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getIdentityColumnSupport()	SUPPLIED_STRATEGY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply their identity-column DDL and generated-value behavior and may delegate version-dependent cases to the inherited support.			Phase 5	Forty overrides and provider super-delegation were observed; move the feature contracts to identity.spi and replace the concrete GetGeneratedKeysDelegate signature with a supported generated-values boundary.
method:org.hibernate.dialect.Dialect#getNativeIdentifierGeneratorStrategy()	SUPPLIED_STRATEGY	APPROVED	INTERNAL		REMOVE	The deprecated string-based hook serves only deprecated legacy generator interpretation and duplicates the typed native value-generation strategy.	getNativeValueGenerationStrategy()		Phase 5	Deprecated for removal since 7.0; migrate the one community override and legacy internal callers and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getNativeValueGenerationStrategy()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the typed Jakarta generation strategy used when native identifier generation is requested.			Phase 5	Nine overrides were observed; the Jakarta GenerationType return keeps the boundary small and supported.
method:org.hibernate.dialect.Dialect#getDmlTargetColumnQualifierSupport()	SUPPLIED_STRATEGY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the database's DML-target qualification policy, and provider SQL AST translators consume that policy while rendering mutation statements.			Phase 4	Twenty-nine overrides and provider-side SQL AST translator calls were observed; DmlTargetColumnQualifierSupport is a focused value type which must be classified as USE SPI.
method:org.hibernate.dialect.Dialect#getGroupBySelectItemReferenceStrategy()	SUPPLIED_STRATEGY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply how GROUP BY clauses reference select items, and provider SQL AST translators consume that policy while rendering queries.			Phase 4	Ten overrides and provider-side SQL AST translator calls were observed; SelectItemReferenceStrategy is a focused value type which must be classified as USE SPI.
method:org.hibernate.dialect.Dialect#getNameQualifierSupport()	SUPPLIED_STRATEGY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply supported catalog and schema qualification, and may consume the inherited result while configuring provider-specific identifier helpers.			Phase 5	Eighteen overrides and provider-side use were observed; the return type is already in an .spi package.
method:org.hibernate.dialect.Dialect#getNationalizationSupport()	SUPPLIED_STRATEGY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply nationalized-character handling and may delegate version- or driver-independent cases to the inherited policy.			Phase 5	Fifteen overrides and provider super-delegation were observed; NationalizationSupport is a focused value type which must be classified as USE SPI.
method:org.hibernate.dialect.Dialect#getNativeParameterMarkerStrategy()	SUPPLIED_STRATEGY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects may supply a native JDBC parameter-marker renderer and may reuse the inherited standard-marker choice when selecting a driver-specific policy.			Phase 4	Two overrides and provider super-use were observed; null means use Hibernate's standard marker and ParameterMarkerStrategy already resides in org.hibernate.sql.ast.spi.
method:org.hibernate.dialect.Dialect#getTemporalTableSupport()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the database-specific temporal-table capability, DDL, and query-rendering policy consumed by Hibernate.			Phase 5	Seven overrides and sixteen consumers were observed; move the contract to temporal.spi and replace mutable boot/model signature types with supported request or context views before applying the SPI commitment.
method:org.hibernate.dialect.Dialect#getTimeZoneSupport()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the database's native time-zone type capability used by mapping and JDBC type selection.			Phase 5	Seventeen overrides and three direct consumers were observed; TimeZoneSupport is a focused value type which must be included in the supported signature boundary.
method:org.hibernate.dialect.Dialect#createOptionalTableUpdateOperation(org.hibernate.persister.entity.mutation.EntityMutationTarget,org.hibernate.sql.model.internal.OptionalTableUpdate,org.hibernate.engine.spi.SessionFactoryImplementor)	SUPPLIED_STRATEGY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	REPLACE	Provider Dialects customize optional-table mutation construction and may delegate cases requiring Hibernate's standard update-then-insert behavior to the inherited implementation.	A supported optional-table mutation creation boundary using the semantic model-mutation SPI and supported result-construction facilities		Phase 4	Twelve overrides and provider super-delegation were observed; remove the internal OptionalTableUpdate and transitional EntityMutationTarget types from the signature and present the exact replacement request or context and result-construction shape for focused review.
method:org.hibernate.dialect.Dialect#getAggregateSupport()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the aggregate-column DDL, mapping, and SQL-expression behavior consumed by Hibernate.			Phase 5	Twenty-three overrides were observed; move the coherent contract to aggregate.spi, audit its mapping and SQL AST signatures, and provide supported family factories, bases, composition, or an appropriate combination without classifying built-in leaves wholesale.
method:org.hibernate.dialect.Dialect#getCallableStatementSupport()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply procedure-call interpretation and parameter-registration behavior consumed by Hibernate.			Phase 5	Thirteen overrides were observed; CallableStatementSupport is already in .spi, but providers currently depend on internal standard and vendor implementations, so expose a supported standard family base or composable equivalent while retaining internal built-in leaves.
method:org.hibernate.dialect.Dialect#getMinimumSupportedVersion()	SUPPLIED_STRATEGY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the immutable minimum database version used for version fallback and compatibility diagnostics without expanding every supported constructor and family-constructor signature.			Phase 2	Nineteen overrides were observed and every one returns a constant; document that the hook is invoked during superclass construction and must return construction-safe immutable data without depending on subclass initialization.
method:org.hibernate.dialect.Dialect#canCreateSchema()	DDL_AND_SCHEMA	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply whether Hibernate may create and drop schema namespaces during schema management.			Phase 5	Thirteen overrides and three direct schema-management consumers were observed; the boolean boundary is already compact and supported.
method:org.hibernate.dialect.Dialect#getCreateSchemaCommand(java.lang.String)	DDL_AND_SCHEMA	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the database-specific SQL commands Hibernate executes to create a schema namespace.			Phase 5	Seven overrides and two direct schema-management consumers were observed; the String input and String-array result form a small supported boundary.
method:org.hibernate.dialect.Dialect#getCurrentSchemaCommand()	DDL_AND_SCHEMA	APPROVED	INTERNAL		REMOVE	Current-schema discovery is provided by Connection#getSchema() or a custom SchemaNameResolver, and Hibernate no longer consumes this deprecated SQL-command hook.	Connection#getSchema() or getSchemaNameResolver()		Phase 5	Deprecated since 7.0; thirteen overrides remain but the only call site is provider-owned resolver code, so migrate in-repository overrides and add a versioned Migration Guide entry before removal.
method:org.hibernate.dialect.Dialect#getDropSchemaCommand(java.lang.String)	DDL_AND_SCHEMA	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply schema-drop SQL and may delegate standard cases to the inherited command rendering.			Phase 5	Twelve overrides, a direct schema-management consumer, and provider super-delegation were observed; the String input and String-array result form a small supported boundary.
method:org.hibernate.dialect.Dialect#supportsSchemaIfExists()	DDL_AND_SCHEMA	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply whether the inherited schema-drop renderer may use IF EXISTS.			Phase 5	Six overrides were observed; Hibernate consumes the focused capability through the inherited getDropSchemaCommand implementation.
method:org.hibernate.dialect.Dialect#supportsSchemaIfNotExists()	DDL_AND_SCHEMA	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply whether the inherited schema-create renderer may use IF NOT EXISTS.			Phase 5	Five overrides were observed; Hibernate consumes the focused capability through the inherited getCreateSchemaCommand implementation.
method:org.hibernate.dialect.Dialect#getQuerySequencesString()	DDL_AND_SCHEMA	APPROVED	INTERNAL		REPLACE	The sequence-discovery SQL is configuration of a SequenceInformationExtractor rather than an independent Dialect capability, and retaining both hooks creates a callback dependency between the extractor and Dialect.	getSequenceInformationExtractor() returning a supported standard extractor configured with its lookup SQL and result-column mapping		Phase 5	Thirty-six overrides were observed; migrate them with the extractor implementations, eliminate extractor callbacks to Dialect#getQuerySequencesString, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getSequenceExporter()	DDL_AND_SCHEMA	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply sequence DDL export behavior and may delegate supported cases to Hibernate's inherited standard exporter.			Phase 5	Three overrides, three consumers, and provider super-delegation were observed; Exporter already resides in schema.spi, while StandardSequenceExporter needs a supported family base or composable name-formatting variation point.
method:org.hibernate.dialect.Dialect#getSequenceInformationExtractor()	DDL_AND_SCHEMA	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply sequence metadata extraction and may delegate unsupported or version-dependent cases to the inherited extractor selection.			Phase 5	Twenty-three overrides and provider super-delegation were observed; retain SequenceInformationExtractor in schema extraction SPI and replace provider dependencies on internal legacy and no-op implementations with supported bases, builders, strategies, or constants.
method:org.hibernate.dialect.Dialect#getSequenceSupport()	DDL_AND_SCHEMA	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply sequence DDL and value-retrieval semantics and may inspect or delegate to inherited sequence support when selecting a version-dependent strategy.			Phase 5	Forty overrides, provider calls, and provider super-delegation were observed; move the coherent feature contract to sequence.spi and expose only justified standard or family bases while keeping built-in leaves internal.
method:org.hibernate.dialect.Dialect#getFallbackSchemaManagementTool(java.util.Map,org.hibernate.service.spi.ServiceRegistryImplementor)	DDL_AND_SCHEMA	APPROVED	INTERNAL		REMOVE	Schema-management tool selection is a global service integration concern already handled by explicit configuration and Java service loading, not database-specific Dialect behavior.	hibernate.schema_management_tool, Java service loading for SchemaManagementTool, or normal service-registry integration		Phase 5	Incubating with no observed overrides; make HibernateSchemaManagementTool the initiator default after configured and service-loaded choices and add a versioned Migration Guide entry for direct removal.
method:org.hibernate.dialect.Dialect#getInformationExtractor(org.hibernate.tool.schema.extract.spi.ExtractionContext)	DDL_AND_SCHEMA	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply database-specific JDBC or metadata-schema extraction behavior to Hibernate's schema-management tooling.			Phase 5	Nine overrides and one schema-tool consumer were observed; the input and result already reside in extraction SPI, but providers need supported JDBC-metadata bases, strategies, or composition instead of internal extractor implementations.
method:org.hibernate.dialect.Dialect#getSchemaNameResolver()	DDL_AND_SCHEMA	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply database- or driver-specific current-schema resolution when Connection#getSchema() is insufficient.			Phase 5	Three overrides and one consumer were observed; SchemaNameResolver already resides in jdbc.env.spi and its functional interface supports direct provider implementations without internal dependencies.
method:org.hibernate.dialect.Dialect#getTemporaryTableDdlTransactionHandling()	DDL_AND_SCHEMA	APPROVED	INTERNAL		REMOVE	All Dialects use NONE, so an overridable transaction-handling hook and its enum add unsupported surface without representing any database variation.	Unconditional non-isolated temporary-table DDL execution		Phase 5	Deprecated since 7.0 with no observed overrides; simplify the two internal consumers, remove TempTableDdlTransactionHandling, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#throttleDdl()	DDL_AND_SCHEMA	APPROVED	INTERNAL		MOVE_BEHIND_INTERNAL_COLLABORATOR	A recent Oracle-only fixed-delay workaround controlling Hibernate's schema executor is not a coherent database capability or a supportable provider contract.	Resolve the Oracle temporal-DDL requirement or encapsulate any still-required coordination in internal schema execution		Phase 5	Introduced as an Incubating deprecated-for-removal TODO with one Oracle override and one internal consumer; remove it outright if the underlying issue is resolved, otherwise keep the workaround internal and do not establish a Migration Guide contract for an unreleased temporary hook.
method:org.hibernate.dialect.Dialect#contribute(org.hibernate.boot.model.TypeContributions,org.hibernate.service.ServiceRegistry)	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REMOVE	The generic TypeContributor bridge duplicates the focused Dialect type-contribution hook and unnecessarily presents a Dialect as an independently selectable application TypeContributor.	contributeTypes(TypeContributions, ServiceRegistry)		Phase 5	Two HANA-family overrides and three calls were observed; move their early configuration into contributeTypes, have bootstrap call that focused hook directly, remove TypeContributor from Dialect, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#contributeFunctions(org.hibernate.boot.model.FunctionContributions)	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REMOVE	The generic FunctionContributor bridge is unused because query-engine bootstrap already invokes the focused Dialect function-registry hook directly.	initializeFunctionRegistry(FunctionContributions)		Phase 5	No overrides or call sites were observed; remove FunctionContributor from Dialect and add a versioned Migration Guide entry distinguishing Dialect function customization from independently registered FunctionContributor services.
method:org.hibernate.dialect.Dialect#contributeTypes(org.hibernate.boot.model.TypeContributions,org.hibernate.service.ServiceRegistry)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects contribute database-specific JDBC, DDL, and basic type descriptors and may invoke the inherited contribution before adding family- or database-specific descriptors.			Phase 5	Thirty-three overrides and extensive provider super-delegation were observed; retain this as the single general Dialect type-contribution hook with TypeContributions and ServiceRegistry in its supported boundary.
method:org.hibernate.dialect.Dialect#initializeFunctionRegistry(org.hibernate.boot.model.FunctionContributions)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects contribute database-specific HQL and SQL function descriptors and may invoke the inherited standard registrations before adding or replacing functions.			Phase 5	Fifty overrides and extensive provider super-delegation were observed; retain this as the single Dialect function-contribution hook with FunctionContributions in its supported boundary.
method:org.hibernate.dialect.Dialect#registerColumnTypes(org.hibernate.boot.model.TypeContributions,org.hibernate.service.ServiceRegistry)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects contribute database-specific DDL type descriptors and may invoke the inherited ANSI-oriented registrations before replacing or extending them.			Phase 5	Thirty overrides and extensive provider super-delegation were observed; retain this focused protected sub-hook beneath contributeTypes and ensure the DDL type registry operations used by providers are supported.
method:org.hibernate.dialect.Dialect#ordinal()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	Dialect contribution order is fixed by Hibernate bootstrap and the inherited contributor ordinal has no meaning after Dialect no longer implements TypeContributor or FunctionContributor.	No replacement; independent TypeContributor and FunctionContributor implementations retain their own ordinal contracts		Phase 5	No overrides or direct calls were observed; remove the method with the generic contributor interfaces and document the separation in the Migration Guide.
method:org.hibernate.dialect.Dialect#appendArrayLiteral(org.hibernate.sql.ast.spi.SqlAppender,java.lang.Object[],org.hibernate.type.descriptor.jdbc.JdbcLiteralFormatter,org.hibernate.type.descriptor.WrapperOptions)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects may render nonstandard array literals while reusing Hibernate's inherited ANSI ARRAY syntax where applicable.			Phase 4	No in-repository overrides and one literal-formatter consumer were observed; retain the focused hook and ensure SqlAppender, JdbcLiteralFormatter, and WrapperOptions are supported for provider invocation.
method:org.hibernate.dialect.Dialect#appendDateTimeLiteral(org.hibernate.sql.ast.spi.SqlAppender,java.time.temporal.TemporalAccessor,jakarta.persistence.TemporalType,java.util.TimeZone)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render java.time temporal literals using database-specific syntax and may delegate supported temporal forms to the inherited JDBC-escape rendering.			Phase 4	Twenty-six overrides, four consumers, and provider super-delegation were observed; retain this independently invoked representation-specific overload and its supported rendering boundary.
method:org.hibernate.dialect.Dialect#appendDateTimeLiteral(org.hibernate.sql.ast.spi.SqlAppender,java.util.Calendar,jakarta.persistence.TemporalType,java.util.TimeZone)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render Calendar literals using database-specific syntax and may delegate supported temporal forms to the inherited JDBC-escape rendering.			Phase 4	Nineteen overrides, one consumer, and provider super-delegation were observed; retain this independently invoked representation-specific overload because Calendar time-zone semantics are not equivalent to simple java.time conversion.
method:org.hibernate.dialect.Dialect#appendDateTimeLiteral(org.hibernate.sql.ast.spi.SqlAppender,java.util.Date,jakarta.persistence.TemporalType,java.util.TimeZone)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render legacy Date literals using database-specific syntax and may delegate supported temporal forms to the inherited JDBC-escape rendering.			Phase 4	Twenty-three overrides, two consumers, and provider super-delegation were observed; retain this independently invoked representation-specific overload while legacy Date mappings remain supported.
method:org.hibernate.dialect.Dialect#castType(int)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects define cast-target type names which differ from column declarations and may delegate unchanged JDBC type codes to inherited type rendering.			Phase 5	Fourteen overrides, thirteen consumers, and extensive provider super-delegation were observed; retain the focused protected hook and document supported SqlTypes codes and placeholder semantics.
method:org.hibernate.dialect.Dialect#columnType(int)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects define database column type names for JDBC and extended SqlTypes codes and may delegate unchanged codes to inherited ANSI-oriented rendering.			Phase 5	Forty-three overrides, forty-two consumers, and extensive provider super-delegation were observed; retain this foundational protected hook with explicit supported type-code and placeholder semantics.
method:org.hibernate.dialect.Dialect#getArrayTypeName(java.lang.String,java.lang.String,java.lang.Integer)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects define standard, named, or otherwise database-specific array type names and may delegate standard element types to inherited ANSI rendering.			Phase 5	Four overrides, seven consumers, and provider super-delegation were observed; retain the focused hook and document nullability and the distinct Java-element, SQL-element, and maximum-length inputs.
method:org.hibernate.dialect.Dialect#getSelectClauseNullString(int,org.hibernate.type.spi.TypeConfiguration)	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REMOVE	The JDBC-type-code overload cannot express size or named and aggregate type information and is superseded by the mapping-aware overload.	getSelectClauseNullString(SqlTypedMapping, TypeConfiguration)		Phase 5	Deprecated for removal with thirteen overrides and two consumers; migrate all overrides and callers to the mapping-aware hook and add a versioned Migration Guide entry.
